1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code
CGCMT14GC19,,301670001,1,101500000,120,360,0.04,0.04,20140206,0,N,Y,1,3,Y,2,20140705,20231005,,Lockout/5_>YM or 1%/111_0%/4,,20190206,,,,,,,,,1,,,,,,N,,,118,360,20240106,101195816,0.04,0.0001275,,,,,0.000005,0.0398675,560807.23,26,Newcastle Senior Housing Portfolio,,,,,Incomplete,,,3002,,38130859.15,0.11,507180000,20131231,0.9,82824109.23,44693250.1,,N,,,Y,Y,1,,,,20140320,37152207.1,1.55,,GSMC,N,,0,PP
CGCMT14GC19,,304101131,2A,45000000,120,360,0.0491,0.0491,20140201,0,Y,Y,1,3,Y,5,20160331,20230930,,Lockout/26_>YM or 1%/90_0%/4,,,20170201,,,,,,,,1,,,,,,N,,,118,360,20240101,45000000,0.0491,0.0001275,,,,,0.000005,0.0489675,190262.5,1,CityScape - East Office/Retail,1 East Washington Street,Phoenix,Arizona,85004,Incomplete,MU,641935,,2007,17165185,0.09,274000000,20131002,0.95,23129972,5964787,,N,,,N,Y,1,,,,20140320,15792104.98,1.34,,CGMRC,N,,1,PP
CGCMT14GC19,,304101141,2B,40000000,120,360,0.0491,0.0491,20140201,0,Y,Y,1,3,Y,5,20160331,20230930,,Lockout/26_>YM or 1%/90_0%/4,,,20170201,,,,,,,,1,,,,,,N,,,118,360,20240101,40000000,0.0491,0.0001275,,,,,0.000005,0.0489675,169122.22,1,CityScape - East Office/Retail,1 East Washington Street,Phoenix,Arizona,85004,Incomplete,MU,641935,,2007,17165185,0.09,274000000,20131002,0.95,23129972,5964787,,N,,,N,Y,1,,,,20140320,15792104.98,1.34,,CGMRC,N,,1,PP
CGCMT14GC19,,301491004,3,69500000,60,,0.0433,0.0433,20140106,0,Y,Y,1,3,Y,3,20160405,,,Lockout/27_Defeasance/29_0%/4,,,,,,,,,,,1,,,,,,N,,,57,,20181206,69500000,0.0433,0.0001275,,,,,0.000005,0.0431675,259138.47,1,1500 Spring Garden,1500 Spring Garden Street,Philadelphia,Pennsylvania,19130,Incomplete,OF,1068125,,1947,14647808,0.1,197200000,20131010,0.88,23956145,9308337,,N,,,Y,Y,1,,20160406,,20140320,13862680,2.11,,CGMRC,N,,0,PP
CGCMT14GC19,,301670004,4,43000000,120,360,0.04941,0.04941,20140106,0,Y,Y,1,3,Y,5,20160405,,,Lockout/27_Defeasance/89_0%/4,,,20190106,,,,,,,,1,,,,,,N,,,117,360,20231206,43000000,0.04941,0.0003775,,,,,0.000005,0.0490275,182954.25,1,Independence Green Apartments,24360 Independence Drive,Farmington Hills,Michigan,48335,Incomplete,MF,,981,1969,4631476,0.11,54000000,20130919,0.97,9250592,4619116,,N,,,Y,Y,1,,20160406,,20140320,4337176,1.58,,CGMRC,N,,0,WL
CGCMT14GC19,,301670005,5,36000000,120,360,0.05037,0.05037,20140306,0,Y,Y,1,3,Y,5,20160405,,,Lockout/25_Defeasance/91_0%/4,,,20160306,,,,,,,,1,,,,,,N,,,119,360,20240206,36000000,0.05037,0.0004275,,,,,0.000005,0.0499375,156147,1,Biltmore Office,817 West Peachtree Street Northwest,Atlanta,Georgia,30308,Incomplete,MU,284250,,1924,3678422,0.1,48800000,20131217,0.87,6232426,2554004,,N,,,Y,Y,1,,20160406,,20140320,3293308,1.41,,GSMC,N,,0,WL
CGCMT14GC19,,623100071,6,31000000,120,360,0.0488,0.0488,20140406,10,Y,Y,1,3,Y,5,20160405,20231205,,Lockout/24_>YM or 1%/92_0%/4,,,20170406,,,,,,,,1,,,,,,N,,,120,360,20240306,31000000,0.0488,0.0001275,,,,,0.000005,0.0486675,130268.89,8,RIS Portfolio,,,,,Incomplete,,206825,,,3235976,0.1,53100000,,0.88,4586986,1351009,,N,,,Y,Y,1,,,,20140320,3042921,1.54,,MC-FiveMile,N,,0,WL
CGCMT14GC19,,304101136,7,30000000,120,,0.0484,0.0484,20140206,0,Y,Y,1,3,Y,3,20160405,,,Lockout/26_Defeasance/90_0%/4,,,,,,,,,,,1,,,,,,N,,,118,,20240106,30000000,0.0484,0.0001275,,,,,0.000005,0.0482675,125033.33,1,136-138 West 34th Street,136-138 West 34th Street,New York,New York,10001,Incomplete,RT,25000,,1902,3061757,0.1,61000000,20131120,1,3823179,761422,,N,,,Y,Y,1,,20160406,,20140320,2963508.6,2.01,,CGMRC,N,,0,WL
CGCMT14GC19,,304101125,8,29000000,120,360,0.051,0.051,20140206,0,N,Y,1,3,Y,2,20160405,,,Lockout/26_Defeasance/91_0%/3,,,,,,,,,,,1,,,,,,N,,,118,360,20240106,28927361.42,0.051,0.0001275,,,,,0.000005,0.0508675,157455.43,1,335 West 16th Street,335 West 16th Street,New York,New York,10011,Incomplete,OF,54000,,1920,2639101.88,0.09,53000000,20131021,1,3688653.28,1049551.41,,N,,,N,N,1,,20160406,,20140320,2496804.87,1.32,,CGMRC,N,,0,WL
