1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code
MSBAM15C26,,453000237,1,110000000,120,0,0.0386,0.0386,20150406,0,Y,Y,1,3,Y,3,20171205,,,LO(32);DEF(84);O(4),,,,,,,,,,,1,,,,,,N,,,112,0,20250306,110000000,0.0386,0.000138,,,,,0.000005,0.038457,353833.33,1,535-545 Fifth Avenue,535-545 Fifth Avenue,New York,NY,10017,New York,MU,512171,,1898; 1927,19251651.06,,630000000,20150101,0.82,33746754.93,14495103.87,,N,,,Y,Y,1,,20171206,,20151112,16592311.87,,,MSMCH,,,0,PP
MSBAM15C26,,1341635,2,100000000,120,0,0.0451,0.0451,20140207,5,Y,Y,1,3,Y,3,20170706,,,LO(41);DEF(72);O(7),,,,,,,,,,,1,,,,,,N,,,98,0,20240107,100000000,0.0451,0.000138,,,,,0.000005,0.044957,375833.33,1,Herald Center,1293-1311 Broadway,New York ,NY,10001,New York,MU,249063,,1902,23204072.91,,572000000,20150629,0.97,32119557.56,8915484.65,,N,,,N,N,1,,20170707,,20151112,22589094.05,,,MSMCH,,,1,PP
MSBAM15C26,,304971003,3,91700000,120,0,0.035602,0.035602,20151006,0,Y,Y,1,3,Y,3,20171205,,,LO(26);DEF(87);O(7),,,,,,,,,,,1,,,,,,N,,,118,0,20250906,91700000,0.035602,0.0001005,,,,,0.000005,0.0354965,272058.62,1,11 Madison Avenue,11 Madison Avenue,New York,NY,10010,New York,OF,2285043,,1932-1950,109493598.1,,2350000000,20150701,0.98,163039756.1,53546158,,N,,,N,N,1,,20171206,,20151112,107431282.6,,,MSMCH,,,1,PP
MSBAM15C26,,1544744,4,74000000,120,360,0.0436,0.0436,20150901,5,N,Y,1,3,Y,2,20171130,,,LO(27);DEF(88);O(5),,,,,,,,,,,1,,,,,,N,,,117,357,20250801,73717025.71,0.0436,0.000161,,,,,0.000005,0.043434,368816.68,1,Palmer Center,"2 N. Cascade Ave. & 2, 4, 40-80, 90 S. Cascade Ave.",Colorado Springs,CO,80903,El Paso,OF,459500,,1968-1989,7121980.49,,103900000,20150625,0.88,12356556.76,5234576.27,,N,,,Y,Y,1,,20171201,,20151112,5945660.49,,,MSMCH,,,0,WL
MSBAM15C26,,304971005,5,40000000,120,360,0.0482,0.0482,20151001,7,Y,Y,1,3,Y,5,20170831,20250731,,LO(23);YM1(95);O(2),,,20181001,,,,,,,,1,,,,,,N,,,118,360,20250901,40000000,0.0482,0.000161,,,,,0.000005,0.048034,160666.67,3,Wallace Student Housing Portfolio,Various,Various,GA,Various,Various,MF,,943,,3498371.94,,59400000,,0.92,5490775.44,1992403.5,,N,,,Y,Y,1,,,,20151112,3404071.94,,,CIBC,,,0,WL
MSBAM15C26,,1545606,6,27350000,120,360,0.049511517,0.049511517,20151101,5,Y,Y,1,3,Y,5,20171130,,,LO(25);DEF(91);O(4),,,20171101,,,,,,,,1,,,,,,N,,,119,360,20251001,27350000,0.049511517,0.000161,,,,,0.000005,0.0493455,112845,1,Skylight Office Tower,1660 West 2nd Street,Cleveland,OH,44113,Cuyahoga,OF,320793,,1990,3679597.53,,42650000,20150731,0.91,6933245.34,3253647.81,,N,,,Y,Y,1,,20171201,,20151112,3100843.25,,,MSMCH,,,1,WL
MSBAM15C26,,695100585,7,26350000,120,360,0.047,0.047,20151106,0,Y,Y,1,3,Y,5,20171205,,,LO(25);DEF(89);O(6),,,20171106,,,,,,,,1,,,,,,N,,,119,360,20251006,26350000,0.047,0.000161,,,,,0.000005,0.046834,103204.17,1,Market Square Plaza,17 North Second Street,Harrisburg,PA,17101,Dauphin,OF,172629,,2005,2266638.86,,37250000,20150811,1,4018589.69,1751950.83,,N,,,Y,Y,1,,20171206,,20151112,2128535.66,,,SMF III,,,0,WL
MSBAM15C26,,453000274,8,20000000,120,360,0.04605,0.04605,20150801,0,Y,Y,1,3,Y,5,20171130,,,LO(28);DEF(85);O(7),,,20190801,,,,,,,,1,,,,,,N,,,116,360,20250701,20000000,0.04605,0.000138,,,,,0.000005,0.045907,76750,25,Coastal Equities Retail Portfolio,,Various,XX,Various,Various,RT,3458225,,,17127145.05,,233250000,,0.92,24425793.79,7298648.74,,N,,,Y,Y,1,,20171201,,20151112,15447188.37,,,MSMCH,,,0,PP
MSBAM15C26,,453000278,8A,4000000,120,360,0.04605,0.04605,20150801,0,Y,Y,1,3,Y,5,20171130,,,LO(28);DEF(85);O(7),,,,,,,,,,,1,,,,,,N,,,116,360,20250701,4000000,0.04605,0.000138,,,,,0.000005,0.045907,15350,,,,,,,,,,,,,,,,,24425793.79,7298648.74,,N,,,Y,Y,1,,20171201,,20151112,,,,MSMCH,,,0,PP
