1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction ID,Group ID,Loan ID,Prospectus Loan ID,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears (Y/N),Payment Type,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium End Date,Prepayment Terms Description,ARM Index,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back In Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% Of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer And Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate at Contribution,Periodic P& I Payment At Contribution,Number of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type,Net Rentable Square Feet At Contribution,Number of Units/Beds/Rooms at Contribution,Year Built,NOI at Contribution,DSCR(NOI) at Contribution,Valuation Amount at Contribution,Valuation Date at Contribution,Physical Occupancy at Contribution,Revenue at Contribution,Operating Expenses at Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection of Escrow (Y/N),Collection of Other Reserves (Y/N),Lien Position at Contribution,Current Hyper Amortizing Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF at Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease (Y/N),Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure
 MS16UBS11,,30296711,30,4987500,120,360,0.05903,0.05903,20160205,0,N,Y,1,3,Y,2,,,,LO(31);DEF(86);O(3),,,,,,,,,,,1,,,,,,N,0,0,113,353,20260105,4954040.64,0.05903,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0588597,29592.26,1,Oak Creek Apartments,5817  22nd Street and 5802 24th Street ,Lubbock,TX,79407,Lubbock,MF,,213,1960,,,6700000,20151106,0.906,,,,N,,,Y,Y,,,,,20160825,,,,Natixis,N, ,0,WL
 MS16UBS11,,30296769,36,2750000,120,360,0.0499,0.0499,20160705,0,N,Y,1,3,Y,2,,,,LO(26);DEF(91);O(3),,,,,,,,,,,1,,,,,,N,0,0,118,358,20260605,2743746.21,0.0499,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0497297,14745.79,1,2074 Park Street,2074-2100 Park Street   ,Hartford,CT,6106,Hartford,MU,46245,,1920,,,3700000,20151215,0.883,,,,N,,,Y,Y,,,,,20160825,,,,Natixis,N, ,0,WL
 MS16UBS11,,30297074,23,10120600,120,360,0.0545,0.0545,20160605,0,N,Y,1,3,Y,2,,,,LO(27);DEF(90);O(3),,,,,,,,,,,1,,,,,,N,0,0,117,357,20260505,10089975.96,0.0545,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0543297,57146.57,8,Various,Various,Various,XX,Various,Various,RT,127482,,,,,14525000,,1,,,,N,,,Y,Y,,,,,20160825,,,,Natixis,N, ,0,WL
 MS16UBS11,,30297248,32,4175000,120,360,0.0498,0.0498,20160905,0,N,Y,1,3,Y,2,,,,LO(24);DEF(93);O(3),,,,,,,,,,,1,,,,,,N,0,0,120,360,20260805,4175000,0.0498,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0496297,22361.3,1,Great Falls Plaza,1201 Julian R. Allsbrook Highway   ,Roanoke Rapids,NC,27870,Halifax,RT,120624,,1987,,,6500000,20160701,0.954,,,,N,,,Y,Y,,,,,20160825,,,,Natixis,N, ,0,WL
 MS16UBS11,,30297372,6,49000000,120,0,0.04292,0.04292,20160905,0,Y,N,1,3,Y,9,,,,LO(24);DEF(92);O(4),,,,,,,,,,,1,,,,,,N,0,0,120,0,20260805,49000000,0.04262,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0424497,179832.72,1,Fairfield Inn & Suites Times Square,330 West 40th Street   ,New York,NY,10018,New York,LO,,244,2006,,,82400000,20160517, ,,,,N,,,Y,Y,,,,,20160825,,,,Natixis,N, ,0,WL
 MS16UBS11,,30297429,12,16275000,120,360,0.05382,0.05382,20160806,0,N,Y,1,3,Y,2,,,,LO(25);DEF(91);O(4),,,,,,,,,,,1,,,,,,N,0,0,119,359,20260706,16259220.13,0.05382,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0536497,91206.36,1,Residence Inn- Downtown Clearwater,940 Court Street   ,Clearwater,FL,33756,Pinellas,LO,,115,2008,,,24500000,20160525,0.891,,,,N,,,Y,Y,,,,,20160825,,,,UBSRES,N, ,0,WL
 MS16UBS11,,30297451,13,16250000,120,360,0.049,0.049,20160806,0,N,Y,1,3,Y,2,,,,LO(25);DEF(91);O(4),,,,,,,,,,,1,,,,,,N,0,0,119,359,20260706,16232322.88,0.049,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0488297,86243.09,1,Nameoki Commons,3401-3551 Nameoki Road   ,Granite City,IL,62040,Madison,RT,155421,,1969,,,22500000,20160422,0.956,,,,N,,,Y,Y,,,,,20160825,,,,UBSRES,N, ,0,WL
 MS16UBS11,,30297452,15,15715000,120,360,0.0457,0.0457,20160806,0,Y,Y,1,3,Y,9,,,,LO(25);DEF(91);O(4),,,,,,,,,,,1,,,,,,N,0,0,119,360,20260706,15715000,0.0457,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0455297,61842.89,1,Newington Business Center,475 Willard Ave.   ,Newington,CT,6111,Hartford,IN,614600,,1956,,,22400000,20160608,0.937,,,,N,,,Y,Y,,,,,20160825,,,,UBSRES,N, ,0,WL
 MS16UBS11,,30297454,8,30000000,120,300,0.041,0.041,20160806,0,N,Y,1,3,Y,2,,,,LO(12);YM1(13);YM1/DEF(91);O(4),,,,,,,,,,,1,,,,,,N,0,0,119,299,20260706,29945904.47,0.041,0.0001334,0,0.000025,0.0000069, ,0.000005,0.0408297,160012.2,1,The Henry Hotel,300 Town Center Drive   ,Dearborn,MI,48126,Wayne,LO,,308,1989,,,65000000,20160524,0.761,,,,N,,,Y,Y,,,,,20160825,,,,UBSRES,N, ,0,WL
