1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code,Origination Date,Original Interest Only Term,Underwriting Indicator,Servicing Advance Methodology,Valuation Source at Contribution
WFCM16LC24,,310935048,1,70000000,120,360,0.0438,0.0438,20161001,5,N,Y,1,3,Y,2,20180930,,20260531,L(24) D(92) O(4),,,,,,,,,,,1,,,,,,N,,,120,360,20260901,70000000,0.0438,0.0001265,,,,,0.000005,0.0436685,349706.15,1,Central Park Retail,1541 Carl D Silver Parkway,Fredericksburg,VA,22401,Incomplete,RT,441907,,1966,7759060,1.44,121000000,20160601,0.96,9474343,1715283,,N,,,Y,Y,1,,20181001,,,7116672,1.32,,WFB,N,,0,PP,20160805,0,,1,
WFCM16LC24,,28000896,2,58750000,120,360,0.04586,0.04586,20160706,0,Y,Y,1,3,Y,5,20181005,,20260305,L(27) D(89) O(4),,,20170706,,,,,,,,1,,,,,,N,,,117,360,20260606,58750000,0.04586,0.0001265,,,,,0.000005,0.0457285,232007.01,7,Green Valley Portfolio,Various,Various,XX,Various,Incomplete,MH,,2042,,4955149.85,1.37,81680000,,0.89,7876585.26,2921435.41,,N,,,Y,Y,1,,20181006,,,4853049.85,1.34,,LCF,N,,1,WL,20160511,9,,1,
WFCM16LC24,,310934701,3,46700000,120,,0.0445,0.0445,20160811,0,Y,Y,1,3,Y,3,20190810,20260410,20360410,L(36) GRTR 1% or YM(80) O(4),,,,,,,,,,,1,,,,,,N,,,118,,20360711,46700000,0.0445,0.0001265,,,,,0.000005,0.0443685,178951.81,1,Four Points by Sheraton Times Square – Leased Fee,326 West 40th Street,New York,NY,10018,Incomplete,98,4938,,2006,2627933,1.25,62000000,20160504,1,2627933,0,,N,,,N,N,1,20260711,,,,2627933,1.25,,WFB,N,,0,WL,20160706,118,,1,
WFCM16LC24,,28300906,4,25000000,120,,0.04109,0.04109,20160806,0,Y,Y,1,3,Y,3,20180805,20260405,20260405,L(24) GRTR 1% or YM(92) O(4),,,,,,,,,,,1,,,,,,N,,,118,,20260706,25000000,0.04109,0.0001105,,,,,0.000005,0.0409745,88457.64,1,1140 Avenue of the Americas,1140 Avenue of the Americas,New York,NY,10036,Incomplete,OF,247183,,1926,9510549.22,2.31,180000000,20160501,0.91,20833881.41,11323332.19,,N,,,Y,Y,1,,,,,8893069.04,2.16,,LCF,N,,0,PP,20160615,118,,1,
WFCM16LC24,,28400906,4A,20000000,120,,0.04109,0.04109,20160806,0,Y,Y,1,3,Y,3,20180805,20260405,20260405,L(24) GRTR 1% or YM(92) O(4),,,,,,,,,,,1,,,,,,N,,,118,,20260706,20000000,0.04109,0.0001105,,,,,0.000005,0.0409745,70766.11,,,,,,,,,,,,,,,,,,,,N,,,,,1,,,,,,,,LCF,N,,0,PP,20160615,118,,1,
WFCM16LC24,,28000918,5,37000000,120,360,0.0475,0.0475,20160906,0,Y,Y,1,3,Y,5,20181005,,20260605,L(25) D(92) O(3),,,20210906,,,,,,,,1,,,,,,N,,,119,360,20260806,37000000,0.0475,0.0001265,,,,,0.000005,0.0473685,151340.28,1,One Meridian,1 Meridian Boulevard,Wyomissing,PA,19610,Incomplete,OF,366728,,1990,4295486.66,1.85,54750000,20160503,0.97,8012942.26,3717455.6,,N,,,Y,Y,1,,20181006,,,3726192.81,1.61,,LCF,N,,0,WL,20160726,59,,1,
WFCM16LC24,,310936145,6,29526000,120,,0.03744,0.03744,20160801,0,Y,Y,1,3,Y,3,20180930,,20251231,L(26) D(87) O(7),,,,,,,,,,,1,,,,,,N,,,118,,20260701,29526000,0.03744,0.0001105,,,,,0.000005,0.0373245,95191.82,1,The Shops at Crystals,3720 South Las Vegas Boulevard,Las Vegas,NV,89158,Incomplete,RT,262327,,2009,49467869,3.41,1100000000,20160426,0.88,64805737,15337868,,N,,,N,N,1,,20181001,,,47610240,3.28,,WFB,N,,2,PP,20160609,118,,1,
WFCM16LC24,,310936147,6A,5474000,120,,0.03744,0.03744,20160801,0,Y,Y,1,3,Y,3,20180930,,20251231,L(26) D(87) O(7),,,,,,,,,,,1,,,,,,N,,,118,,20260701,5474000,0.03744,0.0001105,,,,,0.000005,0.0373245,17648.18,,,,,,,,,,,,,,,,,,,,N,,,,,1,,20181001,,,,,,WFB,N,,2,PP,20160609,118,,1,
WFCM16LC24,,310936019,7,27000000,120,,0.043,0.043,20160711,0,Y,Y,1,3,Y,3,20190710,20260310,20260310,L(36) GRTR 1% or YM(80) O(4),,,,,,,,,,,1,,,,,,N,,,117,,20260611,27000000,0.043,0.0001105,,,,,0.000005,0.0428845,99975,1,Pinnacle II,3300 West Olive Avenue,Burbank,CA,91505,Incomplete,OF,230000,,2005,8019240,2.11,142000000,20160505,1,11664912,3645672,,N,,,Y,N,1,,,,,7423010,1.96,,WFB,N,,2,PP,20160607,117,,1,
WFCM16LC24,,310934902,8,27000000,120,360,0.0453,0.0453,20160811,0,N,Y,1,3,Y,2,20180810,20260410,20260410,L(24) GRTR 1% or YM(92) O(4),,,,,,,,,,,1,,,,,,N,,,118,358,20260711,26935946.83,0.0453,0.0001265,,,,,0.000005,0.0451685,137286.74,1,Hyatt House Fairfax,8296 Glass Alley,Fairfax,VA,22031,Incomplete,LO,,148,2012,3126408,1.9,40500000,20160510,0.78,7348836,4222428,,N,,,Y,Y,1,,,,,2832454,1.72,,WFB,N,,0,WL,20160615,0,,1,
WFCM16LC24,,28000914,9,25725000,120,360,0.04488,0.04488,20160806,0,Y,Y,1,3,Y,5,20181005,,20260405,L(26) D(90) O(4),,,20180206,,,,,,,,1,,,,,,N,,,118,360,20260706,25725000,0.04488,0.0001265,,,,,0.000005,0.0447485,99418.55,1,Skyline Village,7510 Concord Boulevard East,Inver Grove Heights,MN,55076,Incomplete,MH,,399,1976,1982953.81,1.27,35360000,20160609,0.95,2861673,878719.19,,N,,,Y,Y,1,,20181006,,,1963003.81,1.26,,LCF,N,,1,WL,20160624,16,,1,
WFCM16LC24,,300571581,10,24700000,120,,0.0424,0.0424,20161006,0,Y,Y,1,3,Y,3,20181005,,20260605,L(24) D(92) O(4),,,,,,,,,,,1,,,,,,N,,,120,,20260906,24700000,0.0424,0.0001265,,,,,0.000005,0.0422685,90182.44,1,Seasons at Horsetooth Apartments,1020 Wabash Street,Fort Collins,CO,80526,Incomplete,MF,,208,1998,2707954,2.55,50000000,20160628,0.96,3844826,1136872,,N,,,Y,Y,1,,20181006,,,2656578,2.5,,RMF,N,,0,WL,20160819,120,,1,
WFCM16LC24,,330933367,11,24000000,120,360,0.04366,0.04366,20160711,5,N,Y,1,3,Y,2,20181010,,20260310,L(27) D(89) O(4),,,,,,,,,,,1,,,,,,N,,,117,357,20260611,23908323.33,0.04366,0.0001265,,,,,0.000005,0.0435285,119701.09,1,Hampton Inn & Suites - Boise,495 South Capitol Boulevard,Boise,ID,83702,Incomplete,LO,,186,2007,3721084,2.59,40000000,20160413,0.8,8239433,4518349,,N,,,Y,Y,1,,20181011,,,3391507,2.36,,WFB,N,,0,WL,20160526,0,,1,
WFCM16LC24,,330934730,12,23000000,120,,0.04514,0.04514,20160711,0,Y,Y,1,3,Y,3,20190710,20260310,20260310,L(36) GRTR 1% or YM(80) O(4),,,,,,,,,,,1,,,,,,N,,,117,,20260611,23000000,0.04514,0.0001265,,,,,0.000005,0.0450085,89402.28,1,So Cal Self Storage – Hollywood,5900 Hollywood Boulevard,Los Angeles,CA,90028,Incomplete,SS,84282,,2004,2515243,2.39,45000000,20160320,0.92,3554937,1039695,,N,,,Y,N,1,,,,,2493826,2.37,,WFB,N,,0,WL,20160531,117,,1,
WFCM16LC24,,300571560,13,21970500,120,360,0.044,0.044,20160906,0,Y,Y,1,3,Y,5,20181005,,20260505,L(25) D(91) O(4),,,20190906,,,,,,,,1,,,,,,N,,,119,360,20260806,21970500,0.044,0.0001265,,,,,0.000005,0.0438685,83243.78,1,Fox Pointe Apartments,14402 Pavilion Point,Houston,TX,77083,Incomplete,MF,,488,1984,2272419,1.72,29670000,20160607,0.96,4430869,2158449,,N,,,Y,Y,1,,20181006,,,2150419,1.63,,RMF,N,,0,WL,20160720,35,,1,
WFCM16LC24,,28000931,14,21490000,120,360,0.0433,0.0433,20160906,0,Y,Y,1,3,Y,5,20160905,20260205,20300205,YM(25) YM or D(88) O(7),,,20210906,,,,,,,,1,,,,,,N,,,119,360,20300806,21490000,0.0433,0.0001265,,,,,0.000005,0.0431685,80127.85,1,FMC Corporation R&D HQ,701 & 801 Charles Ewing Boulevard,Ewing,NJ,8628,Incomplete,OF,110765,,2009,1895495.74,1.48,30700000,20160629,1,3348800.54,1453304.8,,N,,,Y,Y,1,20260806,20160906,,,1873342.74,1.46,,LCF,N,,1,WL,20160804,59,,1,
WFCM16LC24,,300571577,15,20000000,120,360,0.0506,0.0506,20161006,0,N,Y,1,3,Y,2,20181005,,20260605,L(24) D(92) O(4),,,,,,,,,,,1,,,,,,N,,,120,360,20260906,20000000,0.0506,0.0001265,,,,,0.000005,0.0504685,108098.91,1,One & Two Corporate Plaza,2525 & 2625 Bay Area Boulevard,Houston,TX,77058,Incomplete,OF,276025,,1984,2741740,1.57,43000000,20160713,0.83,5425040,2683300,,N,,,Y,Y,1,,20181006,,,2291820,1.31,,RMF,N,,2,PP,20160818,0,,1,
WFCM16LC24,,28000928,16,19500000,120,360,0.04222,0.04222,20161006,0,N,Y,1,3,Y,2,20181005,,20260605,L(24) D(92) O(4),,,,,,,,,,,1,,,,,,N,,,120,360,20260906,19500000,0.04222,0.0001265,,,,,0.000005,0.0420885,95608.91,1,4100 Alpha Road,4100 Alpha Road,Dallas,TX,75244,Incomplete,OF,227096,,1981,1927393.41,1.68,27300000,20160624,0.92,3212470.02,1285076.61,,N,,,Y,Y,1,,20181006,,,1770440.35,1.54,,LCF,N,,1,WL,20160824,0,,1,
WFCM16LC24,,300571558,17,17900000,120,360,0.046,0.046,20160906,0,Y,Y,1,3,Y,5,20181005,,20260505,L(25) D(91) O(4),,,20170906,,,,,,,,1,,,,,,N,,,119,360,20260806,17900000,0.046,0.0001265,,,,,0.000005,0.0458685,70903.89,1,La Plaza Apartments,5909 Glenmont Drive,Houston,TX,77081,Incomplete,MF,,534,1970,2115624,1.92,26950000,20160608,0.91,4587542,2471918,,N,,,Y,Y,1,,20181006,,,1983726,1.8,,RMF,N,,0,WL,20160719,11,,1,
WFCM16LC24,,28000911,18,17520000,60,360,0.0585,0.0585,20160806,0,N,Y,1,3,Y,2,20181005,,20200705,L(26) D(21) O(13),,,,,,,,,,,1,,,,,,N,,,58,358,20210706,17489722.63,0.0585,0.0005265,,,,,0.000005,0.0579685,103357.65,1,Aloft Nashville,7109 South Springs Drive,Franklin,TN,37067,Incomplete,LO,,143,2009,2239164.68,1.81,24900000,20160429,0.83,5415038.65,3175873.97,,N,,,Y,Y,1,,20181006,,,2022563.13,1.63,,LCF,N,,0,WL,20160617,0,,1,
WFCM16LC24,,28000930,19,17500000,120,300,0.0495,0.0495,20160906,0,N,Y,1,3,Y,2,20181005,,20260405,L(25) D(90) O(5),,,,,,,,,,,1,,,,,,N,,,119,299,20260806,17472799.64,0.0495,0.0001265,,,,,0.000005,0.0493685,101794.11,1,Hilton Garden Inn Bothell,22600 Bothell Everett Highway,Bothell,WA,98021,Incomplete,LO,,128,2010,2436049.03,1.99,29600000,20180801,0.77,6285599,3849549.97,,N,,,Y,Y,1,,20181006,,,2184625.07,1.79,,LCF,N,,0,WL,20160803,0,,1,
